snippet_key,category_id,tag_ids,notes
64,CAT_007,TERM_004|TERM_071|TERM_068|TERM_027,"Primary subject is the architecture of the Konark Sun Temple as a solar chariot monument"
65,CAT_006,TERM_020|TERM_047|TERM_027|TERM_062,"Primary subject is the Kullu Dussehrah festival where regional deities congregate"
15,CAT_010,TERM_071|TERM_004|TERM_027|TERM_056,"Primary subject is the Birla Venkateshwara temple as a pilgrimage place in Hyderabad"
16,CAT_010,TERM_035|TERM_071|TERM_068|TERM_056,"Primary subject is Karkala as a Jain pilgrimage city with its Chaturmukha Basti"
17,CAT_010,TERM_071|TERM_027|TERM_056|TERM_048,"Primary subject is the Jakhoo Hanuman temple as a hilltop pilgrimage site in Shimla"
18,CAT_010,TERM_071|TERM_038|TERM_027|TERM_056,"Primary subject is the Bhimkali Shakti temple site at Sarahan as a sacred place"
19,CAT_010,TERM_071|TERM_004|TERM_027|TERM_056,"Primary subject is the Hateshwari Shakti temple at Hatkoti as a sacred place"
20,CAT_007,TERM_004|TERM_071|TERM_056|TERM_037,"Primary subject is the architecture of the Adalaj step well near Ahmedabad"
21,CAT_007,TERM_013|TERM_049|TERM_068|TERM_071,"Primary subject is the Ajanta cave complex famous for its murals and sculptures"
22,CAT_010,TERM_071|TERM_004|TERM_018|TERM_056,"Primary subject is the Ambernath Shiva temple as a place near Mumbai"
23,CAT_010,TERM_071|TERM_063|TERM_027|TERM_034,"Primary subject is the Badrachalam Rama temple as a sacred place on the Godavari"
24,CAT_010,TERM_074|TERM_038|TERM_071|TERM_056,"Primary subject is Badrinath as one of the Char Dham pilgrimage sites"
45,CAT_010,TERM_063|TERM_074|TERM_048|TERM_056,"Primary subject is Gaumukh as the sacred source of the Bhagirathi/Ganga"
46,CAT_007,TERM_004|TERM_071|TERM_018|TERM_037,"Primary subject is the architecture of the Gangaikonda Cholapuram Chola temple"
47,CAT_010,TERM_069|TERM_071|TERM_056|TERM_074,"Primary subject is the Golden Temple at Amritsar as a Sikh pilgrimage site"
48,CAT_010,TERM_035|TERM_068|TERM_071|TERM_056,"Primary subject is the Jain rock sculptures at Gwalior Fort as a sacred Jain site"
49,CAT_010,TERM_071|TERM_034|TERM_063|TERM_056,"Primary subject is Guptkashi as a sacred place tied to the Pandava-Shiva legend"
