snippet_key,hook,explanation
283,Which of these names is not used for Buddha?,"The name Buddha today is associated with the founder of Buddhism. It means ‘awakened one’ and was used as a title by a number of religious groups in India. Gradually, it got associated with Buddhism. Buddha was born Siddhartha. He was born in the Sakya republic of Kapilavastu in present day northern Bihar. Therefore he was called Sakyamuni (the sage of the Sakya). He belonged to a kshatriya clan of the Gautama gotra and got called Gautama (Sanskrit) or Gotama (Pali). The Buddha referred to himself as Tathagata (the one who has thus gone) while the earliest Buddhist texts referred to him as Bhagavat (Lord). Vardhamana was the original name of Mahavira, who is credited with popularizing Jainism._x000D_ _x000D_ The picture is from Ayuthaya in Thailand._x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
284,Why is Lumbini in Nepal a key part of Buddha’s life? Which life event of Buddha is it associated with?,"Buddha’s mother was Mayadevi and his father was Suddhodana, who was an elected leader of the Sakya republic at Kapilavastu in northern Bihar with the title of Raja. His mother was on her way to her parents' home to give birth, and Buddha was born en-route, under a sal tree at Lumbini in Nepal. An Asokan inscription at the site identified it as the Buddha’s birthplace. Mayadevi died in childbirth and Buddha was brought up by his maternal aunt, Prajapati who married his father. Later, Mahaprajapati would be the first woman to become a Buddhist nun. It was at her insistence that Buddha reluctantly allowed women into the Buddhist monastic order_x000D_ _x000D_ Picture Credit: Ko Hon Chiu Vincent, UNESCO"
285,The Buddha performed the ‘dharma-chakra-pravartana’ at Sarnath near Kashi. What did he do?,"Buddha taught the essentials of Buddhism to his first five disciples in Sarnath. He called his teaching Dhamma in the Pali language in which he preached (Dharma in Sanskrit). This event is called dharma-chakra-pravartna – turning of the wheel of law, by his followers. Why did he choose a place so far away from where he lived? It is said that the five disciples were the ones who had abandoned him earlier and had settled in Sarnath and he wanted to win them back. Kashi like now, was a magnet for holy men even then. The earliest Buddhist texts call Sarnath ‘Isipatana’ – a place where holy men landed. True to its name, it remains a centre of pilgrimage for Buddhists, Jains & Shaivites. The word Sarnath itself is related to Saranganath which means Lord of the Deer, an epithet of Lord Shiva. The Buddha also preached his first sermon at a deer park._x000D_ _x000D_ Picture Credit: Varanasi Tourism"
286,This site has no connection with the life of Buddha. But it has the most ancient surviving Buddhist monuments in India. Where is it?,"Sanchi stupa at Vidisha near Bhopal is considered the earliest surviving complete form of temple architecture in India. Buddhist literature including the memoirs of Chinese pilgrims hardly mention Sanchi. Many scholars believe that it relates to the story of Asoka’s marriage with a merchant’s daughter. They also believe it is the site where their son Mahendra halted during his proselytising mission. Whether the story is true or not, the earliest monuments at Sanchi date from Asoka’s time. It was in use till 12th century CE and is now a UNESCO world heritage site since 1989._x000D_ _x000D_ Picture Credit: Biswarup Ganguly, Wikimedia Commons"
287,“These paintings depict colourful Buddhist legends with an exuberance and vitality that is unsurpassed in Indian art.” Which cave paintings is this citation referring to?,"There are 30 caves at Ajanta – 5 are chaityas (for worship) and the rest are viharas (hostel for monks). They were carved over a 800 year period starting at the turn of first millennium CE. While the nearby Ellora caves are eclectic with Hindu, Jain and Buddhist shrines; the Ajanta caves are exclusively Buddhist. The Ellora caves are more notable for their sculpture while the paintings of Ajanta are unsurpassed. Ajanta was declared a UNESCO world heritage site in 1983._x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
288,"“More than 500 years before Oxford University was founded, this university was home to nine million books and attracted 10000 students from around the world.” Which Buddhist mahavihara is this statement referring to?","Nalanda, a Buddhist institution, was founded in 427CE by the devout Vaishnavite Gupta Emperor, Kumaragupta I. The university was continuously patronised by succeeding ruling dynasties and kings who were of different religious persuasions - the rulers of Kanauj and the Buddhist Pala kings of Bengal in particular. It combined Buddhist teaching with other subjects and contributed greatly to science, astronomy and medicine. Aryabhata, the great mathematician is said to have spent time here. Buddhist pilgrims from across the world came to Nalanda. The Dalai Lama once stated that the source of Tibetan Buddhism was Nalanda. It is said that getting admitted to the university required aspirants to go through lengthy oral interviews with the teachers. After 7 centuries of existence, it was destroyed by the forces of Bakhtiyar Khilji._x000D_ _x000D_ Picture Credit: S. R. Ramanujam"
289,SN Goenka has universally popularised the Buddhist way of meditation. It requires maintaining silence for 10 days continuously. What is it called?,"Vipassana means ‘insight’ in Pali. It is a meditation practice where participants maintain silence for ten days continuously. Buddhist meditation is concerned with investigating the nature of experience and its effect on one’s senses. This is in keeping with the Buddhist concept of no self or conditioned arising of the self. The focus on mindfulness is different from the idea of samatha (stillness) i.e. quieting the mind through concentration on a single object which is the traditional method of meditation._x000D_ _x000D_ The picture is that of the Vipassana centre in Igatpuri, Maharashtra._x000D_ _x000D_ Picture Credit: Priyan Nithya, Flickr"
290,Which state in India has the maximum number of Buddhist cave temples?,"There are 900-1000 rock cut cave temples In India. More than 700 of these temples are Buddhist in orientation. 80% of these cave temples are in Maharashtra, largely in the Konkan region. The soft basalt rock of Deccan plateau facilitated these temples. The Deccan area was also a Buddhist stronghold during ancient times as well as being a thriving trading route. Traders used the caves as resting & worship places enroute to busy ancient ports in Konkan. A 1st century CE book written by an Egyptian merchant mentions Chaul (Vasai), Sopara, Kalyan & Gharapuri (Elephanta) as important ports on the Konkan coast. The Kondhana (Karjat), Karle, Nanaghat & Bhimashankar were all part of important trade routes. All the places mentioned above have cave temples that served traders. The Mumbai metropolitan region was a thriving trading centre a couple of centuries before Christ._x000D_ _x000D_ The picture is of Karla Caves near Lonavala. It is 2200 years old._x000D_ _x000D_ Picture Credit: Kevin Standage, Wikimedia Commons"
291,Mumbai has an antiquity far older than popular imagination. Which place near Mumbai has a major Asokan rock edict?,"The Rock Edict IX of Ashoka was found in Sopara, also known as Shurparaka. It was the first urban settlement to emerge in the Mumbai metropolitan area in Mauryan times and remained an important port till the Portuguese and British made Mumbai their trading base 1800 years later. It is believed to be mentioned as Ophir in the Bible. The Rock Edict is now displayed at the Mumbai Museum._x000D_ _x000D_ Picture Credit: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
292,The stories of Buddha in his former life have been and still are very popular in India. What are these stories called?,"Buddha is said to have had many previous births as Bodhisattva in both human and animal forms. The stories of these Bodhisattvas illustrate the teachings of Buddha. They are among the oldest literature of Buddhism and are considered a literary classic in their own light. Later forms of Buddhism started the worship of these Bodhisattvas leading to a development of a pantheon of Gods that made Buddhism look similar to Hinduism._x000D_ _x000D_ The picture is from Langza village in Spiti, Himachal Pradesh_x000D_ _x000D_ Picture Credit: S. R Ramanujam"
