snippet_key,hook,explanation
444,Small pox inoculation technique went from Asia to Europe. What was it called in India?,"Quick read: Covid tikah is a carryover from small pox language._x000D_ _x000D_ Note: Long before the discovery of vaccination in the late 18th century, a practice known as inoculation or variolation offered some protection against the dreaded smallpox. While this technique gained attention in Europe only in the 18th century, it had been widely practiced in India, China, and the Caucasus for centuries earlier._x000D_ _x000D_ In India, the method, called ""tikah"" by the natives, involved introducing pus from a mature smallpox pustule into a healthy individual, typically through a prick on the forehead. This mild exposure triggered a controlled infection, granting partial immunity to future outbreaks._x000D_ _x000D_ Historical records like an East India Company report from 1731 confirm this practice's longevity. It states that ""inoculation... has been known in the kingdom of Bengal about 150 years,"" placing its origins in India well before the 18th century. Moreover, another report from 1767 describes specialized Brahmin communities traveling in groups to perform inoculations during outbreaks._x000D_ _x000D_ British also condescendingly observed that ignorance and barbarism can also produce valuable improvements. Under British rule, these techniques gradually died out._x000D_ _x000D_ Source: “Indian Science & Technology in the Eighteenth Century”, Dharampal._x000D_ _x000D_ Picture Credit: The Wikimedia image is of anti cholera inoculation camp at Kolkata in 1894."
732,In which year was Ahilyabai born?,"Ahilyabai was born on May 31, 1725. Her father was a Patil of village Choundi. She had five brothers. Several monuments have been built at Choundi, both by Ahilyabai and by others. There is a ghat in the river and a temple in the village has been built called Ahileshwar Mahadev. A moorthy of Ahilyabai stands worshipping Shiva."
733,Malhar Rao was instrumental in grooming Ahilyabai into a Queen. What was Malhar Rao to Ahilyabai?,"Malhar Rao Holkar had the biggest influence on Ahilyabai and was her mentor too. He was the one who spotted the young Ahilyabai and brought her to Indore as his daughter-in-law. He would make Ahilyabai his successor in royal matters, even though she was never formally the Subedar. He taught her statecraft and integrity. He trained Ahilyabai in horse riding and archery along with other Sons he had sired. Malhar Rao himself was from a shepherd family. He was enrolled in the army and gathered fame with his fighting capabilities."
734,At what age was Ahilyabai married?,"Ahilyabai was married to Khande Rao when she was eight. She moved into Malharao's house in Indore. Malhar Rao saw great potential in her and trained her in accounting, finance, statecraft, history, horse riding etc."
735,Who succeeded Ahilyabai to carry on Holkar tradition?,None of the male members of Ahilyabai's family survived her. Her adopted son Tukoji and his sons survived her.
736,How many Peshwas did Ahilyabai witness in her life?,"Ahilyabai lived through the glorious era of Bajirao Peshwa. She later on witnessed the reign of Nanasaheb, Madhavrao and Narayanrao. She died during the reign of Swai Madhavrao Peshwa. Throughout her life, she remained a staunch loyalist of the Peshwas and rebuked attempts by rebels and British to defect."
737,Where did Malhar Rao establish his rule?,"Malhar Rao is considered as the founder of modern Indore. Indore was a small hamlet before he developed it. Malhar Rao made Indore his capital and built a principality on the banks of the river Kanh. He offered many incentives and facilities to traders, businessmen and artisans to migrate to Indore. He ordered the local Kanungo to populate the Kasba of Indore. He provided privileges to Sowkars and shokeepers from Ujjain."
738,Where did Ahilyabai rule from?,"After the death of her husband and son, Ahilyabai was drawn more and more towards spirituality. Yet, she was also conscious of the duty she had as Rajmata. She found peace on the banks of Narmada. It could serve as a capital and also satisfy her spiritual urges. She founded a new capital at Maheshwar i 1767 and spent 28 years of her life in Maheshwar. Her father in law Malhar Rao had already issued a warrant of protection in 1745 to the would be residents of Maheshwar with grants of land for houses for squires, carpenters, weavers and labour. There are more than sixty temples in Maheshwar. Maheshwar was known as Mahishmati in ancient India."
739,Which produce did Ahilaybai promote in Maheshwar that it is still famous for?,"Ahilyabai invited skilled weavers from all parts of India to settle down in Maheshwar. She helped them financially to establish a business. She also bought the sarees and textiles they produced. She invited Sakharam Ghongde, an expert in silk textiles to Indore. Within four years, more than 100 weavers were making Maheshwari sarees and dhotis. Because of the encouragement given by Ahilyabai, quality sarees and clothes began to be produced in Maheshwar. Maheshwar was also known for vessel making and Maheswari Silver vessels became a speciality."
740,Which is a famous Jyotirlinga where Ahilyabai rebuilt a destroyed temple. A moorthy of Ahilyabai has recently been installed in the renovated complex now.,"Ahilyabai is famous for the reconstruction of the Kashi Vishwanath temple, slightly away from the temple Aurangzeb destroyed. In 1785, she built this 51 feet high temple. She also renovated a ghat in varanasi. Her contributions to Varanasi are extensive. She built the Manikarnikaghat and a female only ghat at Manikarnika. She built 6 private temples, and Tarkeshwar temple. She built 9 private bungalows. She also established Brahmapuri as a colony of Brahmins."
741,At what age did Ahilyabai pass away?,"Ahilyabai lived upto the age of 70 in her simple palace built like a hermitage in Maheshwar on the banks of Narmada. Santaji Holkar, the brother of Tukoji was at her side. Gifts and donations for the welfare of the passing soul were distributed. Her last moments were of quiet and calm. Ahilyabai's favourite cow which she saw every morning also died alongwith her. A beautiful Chattri has been built at the spot of her cremation. John Malcom says of her life ""It appears most extra-ordinary, how she had the mental powers to go through the labours she imposed on herself, from the age of 38 till death."""
742,Ahilyabai's husband KhandeRao was not inclined towards hardwork and valour. How did he die?,"KhandeRao was not interested in the Kingdom, weapons, governance or education. He spent his time in drugs, alochol and in the company of women. Ahilyabai tried reforming him. For a brief while Khande Rao appeared like a changed man and started accompanying his father in expeditions. Ahilyabai would learn that his primary motive was loot and not expansion fo the kingdom and that in the battlefield too, he was involved in excesses. Khande Rao was sent to quell the rebellion of Suraj Mal. Ahilyabai also joined the battle camp after sometime and was overseeing the medical and logistics facilities. During this siege Khande Rao was killed by bullet wound."
743,Ahilyabai broke the existing custom of queens committing Sati when their husband died. Who convinced her not to commit Sati?,"Ahilyabai was preparing herself to commit Sati alongwith the funeral of KhandeRao. However Malhar Rao convinced her not to commit Sati. He asked her to take responsibility for the kingdom as there was no other male heir. Malhar Rao had always seen the future of the kingdom in the hands of Ahilyabai. She relented, but wore white saree and gave up jewellery and decorations for the rest of her life."
744,Mahar Rao was constantly in war expeditions around the country. Who ran the State in his absence?,"Malhar Rao was constantly in war expeditions at the service of Peshwa. Therefore the day to day administration of the State was in Ahilyabai's hands. He had full faith in her administrative and political abilities. There was constant correspondence between the two even when Malhar Rao was away. He would give instructions for supply of men, money and material to the warfront which Ahilyabai would fulfil. He would also provide instructions of production of ammunition and artillery. He would also leave instructions on administrative aspects and governance."
745,"Maley Rao, son of Ahilyabai, had a short reign as the Sardar of Malwa. How long was his reign?","As a child Maley Rao cultivated destructive habits. He was fond of playing cruel practical games on visitors and subjects. He was also very arrogant. Maley Rao had even killed the lover of his favourite consort Heera. Maley Rao had also been introduced into drugs and alcohol by Khande Rao when he was alive. Even though Maley Rao was made Sardar, the real power was in the hands of Ahilyabai. A combination of bad habits and poor lifestyle deteriorated the health of Maley Rao. He died at the age of 22, just nine months after the death of Malhar Rao."
746,Ahilyabai was a also a warrior. She had fought in a battle against an unlikely enemy. Who was it?,"After Ahilyabai’s son died, Raghoba eyed her kingdom. Ahilyabai displayed her willingness to fight him and this dissuaded Raghoba. Ahilyabai’s battlefield victory was against Rajputs. Malhar Rao had mediated in a war against the brotherly conflict in the Jaipur Kingdom. He received the Rampur area as thanksgiving which was not liked by the Chandravats of Rampur. They rose in revolt in 1771. Ahilyabai herself took part in the battle and crushed them. Their revolt in 1783 was also crushed. Eventually, sensing weakness in Holkar kingdom, the Chandravats attacked Marathas again and the local Maratha commander fled. An infuriated Ahilyabai asked Sharief Bhai to lead a decisive battle against the Chandravats. She herself was in the battlefield arranging logistics and medical facilities. The Chandravats were defeated by the Martahas. On the order of Ahilyabai, the Chandravat rebel Saubhag Singh was tied to a canon and blown up. The Peshwa and Nana Fadnavis recognised Ahilyabai's valour in the battlefield. Till then Ahilyabai was known for her piety and governance. The crushing of the Rajput revolt made her a valiant leader as well."
747,"While she personally avoided Sati, her daughter and daughter-in-laws committed Sati. What measure did Ahilyabai take to protect widows?",Ahilyabai was against the custom of Sati but was not able to overcome conservatives who supported the practice. However she ensured that no woman was forced to commit Sati against her free will. She gave full protection to the right of widows. They had complete rights to the property of their dead husbands. This ensured that their future is protected if they decide not to commit Sati. She also gave permission to widows to adopt a Son without needing State permission or going to pay a tax to the State. These steps greatly reduced the instances of Sati in the society.
748,Ahilyabai's handling of Bhil tribals demonstrated another quality of hers. What was it?,Bhil tribals dominated the forest area of her State. They used to rob the travellers and because of this trade had got affected. Ahlyabhai initially tried diplomacy and negotiations with Bhils which failed. She then launched a firm military action against them. Many bhils were imprisoned and several were hanged to death. The firm action made Bhils seek pardon from Ahilyabai. She provided the Bhils with arable land and necessary equipment to support them to shift to farming.
749,Ahilyabai's reign is known for which of the following?,Ahilyabai was renowned for all aspects of governance. She separated personal funds from the State funds. She was efficient in the collection of taxes and in depositing the share of Peshwa from the treasury and from the war loots. The justice system that she administered was quick and unbiassed. It took into consideration emotional aspects. She respected the practicality and quick justice provided by institutions like the Panchayats. Her charitable work is of course renowned and all major pilgrimage places of India have seen the contributions of Ahilyabai.
750,What were the struggles of life of Ahilyabai?,"As a Rajmata Ahilyabai was unparallelled. The official communication records; and the accounts of historians and rival rulers acknowledge the prowess of Ahilyabai in governance, diplomacy, politics, justice and charity. Nana Fadnavis, Jadunath Sircar, Kavi Moropant, John Malcom and Vinobha Bhave all have recorded their appreciation of the rule of Ahilyabai. However, her personal life was unfortunate. Her husband and son fell into wasteful activities and died young. She lost her grandson and son-in-law also at a young age. She adopted Tukoji and conferred Subedarship on him but fell out with him in latter days. She herself acknowledged that she was unable to groom a heir. Finally, while she herself avoided Sati due to the beseeching of her father-in-law, she was unable to stop her daughters-in-law and her daughter from committing Sati."
751,Who maintains the charitable properties created by Ahilyabai Holkar?,"The Government of Madhya Pradesh created a Trust called The Khasgi (Devi Ahilyabai Holkar Charities) Trust in 1962. The public properties built by Ahilyabai with private funds were transferred to the Trust which would be responsible for maintaining them. However a series of unauthorised sale of Trust properties took place. In response to a complaint filed by Sumitra Mahajan, who was the MP from Indore, in 2012, the Govt of Madhya Pradesh took over the Trust properties. This was challenged by the Trust in courts. In 2010 the Supreme Court held that the Trust cannot sell the properties without proper approval from the Registrar and the Trust will have to be registered as a Public Trust. Several properties had already been sold by 2012 and the Trust continues to be in controversy regarding these sales. Source: SC Judgement on SLP (CIVIL) No. 12133 of 2020"
752,Harkuaai was a compaion to Ahilyabai till her death.What was she in the Holkar family?,Harkuaai was the unwedded wife of Malhar Rao. She had married his sword (hence Khandarani) as per custom and was therefore referred to as Mahalarrao's wife. She was just four years older to Ahilyabai and was a constant companion to her.
753,What is the name of the only son of Ahilyabai?,"Maleyrao was the only son of Ahilyabai, but was lost to wasteful habits."
754,What was the name of Ahilyabai’s husband?,"Ahilyabai was brought into the Holkar family as the wife of Khanderao, the son of Malhar Rao. However, Khanderao had wasteful habits, was a drunkard and drug addict. He also had several concubines. Though Ahilyabai had two children, her married life was a disappointment and she was always wistful that she never felt what love is."
755,Tukoji is a key figure in the Holkar history. What was he to Ahilyabai?,Ahilyabai adopted Tukoji after the death of her husband and son. Tukoji was Malhar Rao’s nephew and was also considered as his son. Ahilyabai adopted him and made him Subedhar. They had a very uneasy relationship. Tukoji would have lavish personal expenses and would fail to credit the share of Peshwas from battle loots.
756,Yashwant Phanse may have become the Subedhar but for his unfortunate early death. Who was he to Ahilyabai?,"Yashwant Phanse was married to the only daughter of Ahilyabai. He was courageous and may have become the Subedhar as Ahilyabai's son had also died. Unfortunately, Cholera took Yashawant's life at a very young age. This devastated Ahilyabai, who would also lose her daughter Mukta to the custom of Sati."
757,Nathobha who died due to tuberculosis was another close relative of Ahilyabai. What was he?,"Nathoba was the son of Ahilyabai’s daughter Mukta and Yashwant. He was continuously ill and was a weak child. He had tuberculosis died in the year1790, at a very young age of 23; and without children. Both his wives committed Sati with him."
758,Gangoba Tatya was a trusted aide of Ahilyabai would eventually switch sides. What was his role?,"Gangoba was the accountant for the Holkar dynasty. He was very much impressed by the integrity and welfare orientation of Ahilyabai. Whenever the male members wanted to access the official wealth for personal expenses, Ahilyabai will instruct Gangoba not to accept the request."
759,Who was appointed as the Sardar of Malwa after the death of Malhar Rao?,Malhar Rao waged expeditions with renewed vigour after the Maratha defeat at the Battle of Panipat. He spent five years raiding northern India. Malhar received an injury in the battle of Mangrol. He died at Alampur in Madhya Pradesh in 1766. Khande Rao had of course died before. Tukoji Holkar and Maley Rao were with Malhar Rao when he died. Malhar appointed Maley Rao as his successor and Tukoji Holkar as Maley Rao's guardian.
760,"After the death of Ahilyabai's son, which Maratha leader tried to overthrow Holkar's rule in Malwa?","The Diwan appointed by Malhar Rao, Gangadhar Pant Chadrachur, advised Ahilyabai to adopt a son who will become Sardar. However, Ahilyabai realized it would mean the real power would shift to the officials, and refused. Gangadhar Pant wrote to Raghunath Rao Peshwa advising him to invade and conquer the State. Ahilyabai then sought the help of Scindias, Gaikwad and Bhonsales. All of them were loyal to the legacy of Malhar Rao and agreed to support her. Ahilyabai also obtained approval of Madhava Rao Peshwa to defend her State. She also raised an a compact woman army. With the odds staked against him, Raghunath Rao conceded defeat, left his army behind and visited Ahilyabai to offer his condolences for the death of her son. With this move, Ahilyabai had cemented her position as Rajmata of Indore. Later on, she would also snub Raghunath Rao's efforts to usurp the Peshwa throne after the murder of Narayanrao Peshwa; and also warned him strictly against taking British support. On the death of Raghunath Rao, Ahilyabai would remark that an eclipse had passed over and that a traitor is no more."
761,Yashwant Rao Phanse overcame highway bandits in the Malwa state. How was he recognised for this achievement?,"Law and order had deteriorated in the kingdom after the Panipat war. Bhil tribals were causing trouble. Tribal thieves and robbers were rampant robbing travellers. In an open court room, Ahilyabai declared that she will marry her daughter Mukta to the person who controls the bandits. This was in total disregard to the then custom of royalty, caste, ancestry etc. Yashwant Rao Phanse took up the challenge on the condition that he be provided with resources and manpower."
762,Which city in Maharashtra has been renamed as Ahilyanagar?,Ahilyabai was born in Chondi (also Chauri) village in Maharashtra. It is about 85 kms from erstwhile Ahmednagar which was renamed as Ahilyanagar in 2024.
763,Which city in India has an airport named after Ahilyabai?,The Indore airport is named after Ahilyabai. The Bhopal airport is named after the legendary Raja Bhoj. The Gwalior airport is named after Rajmata Vijayaraje Scindia. Ujjain does not have an airport yet.
764,Which former Lok Sabha speaker wrote a book on Ahilyabai?,"Sumitra Mahajan is a Maharashtrian born in Chiplun. She married into the Mahajan family of Indore. She completed her BA and MA from the Indore University which is now named as Ahilyabai university. She was the Deputy Mayor of Indore Municpal Corporation. She was elected as an MP from the Indore constituency. She wrote a book named ""Matoshree"" on the life of Ahilyabai."
765,"Which aspect of Hinduism was revived by the marathas in general, and Ahilyabai in particular.","The marathas and Ahilyabai supported the Hindu revival in all aspects. However Ahilyabai's contribution to the revival of pilgrim centres stands out. Foreign conquest of about ten centuries had levelled many pilgrimage places of India. The Marathas were instrumental in the reconstruction of the Hindu society and its institutions. Ahilyabai was the best exponent of it. With her charity work, she ensured that several temples were reconstructed, ghats were built in tirthas, choultries were built for accommodation of pilgrims and water facilities were provided. About her charity, John Malcom says, ""hours snatched from the affairs of the State were all given to acts of devotion and charity - and a deep sense of religion appears to have strengthened her mind in the performance of worldly duties."""
766,"Maheshwar, the capital founded by Ahilyabai, was also host to a famous religious debate of India. Who participated in the debate?",The famous debate between Adi Shankaracharya and Mandan Mishra took place at Mahishmati. The place is also referred to in Meghdoot of Kalidasa. Mahishmati is also referred to in the Itihaasaas and puranas.
767,Ahilyabai was known for unparallelled construction activity in pilgrimage centres. How were these funded?,"A speciality of Holkar family was that they separated personal expenses from the public funds. The construction activities were funded out of the personal funds received by the Holkar family. Ahilyabai's mother in law had received a few villages for her maintenance from the Peshwa. The income from this and other gifts received by the queen constituted the personal fund. It is believed that this grant was at the request of Malhar Rao who was continuing the custom from his Dhangar society. Four annas out of the earnings of the day was given to the wife. Malhar Rao also personally requested for a grant from Peshwa to his wife similar to this practice. Ahilyabai inherited this fund of about sixteen crores at that time after her mother-in-law's death. A letter from Peshwa confirms this inheritance. After she lost her son Male Rao, she decided to use the personal fund for charity. All the construction activity of Ahilyabai were funded out of this."
768,What was the focus of the construction activity of Ahilyabai?,"When Malhar Rao was alive, Ahilyabai had visited several pilgrimage places. She was conscious of the expenses that pilgrims incurred and the hardships they had to face. She decided to spend her personal wealth on renovation of pilgrimage facilities. Every major pilgrimage center in India has the stamp of Ahilyabai's generosity and public work. There are facilities in all corners of India - Kedarnath, Badrinath, Rameswaram, Pandharpur, Somnath and Puri. To make sure that the facilities are well maintained, she also created permanent financial arrangements for their upkeep."
769,"Apart from Varanasi which she is famous for, Ahilyabai also rebuilt another Jyotirlinga. Where is this?","Ahilyabai also rebuilt the Somnath temple that was destroyed by Ghazni Mahmud. This is slightly away from the original Somnath temple that was destroyed. Even almost 75 years after the reconstruction of the grand Somnath temple at the original spot, the temple that Ahilyabai built is worshipped regularly. There is a constant stream of pilgrims to the Ahilyabai temple at Somnath."
770,Which group of tirthas were choosen by Ahilyabai for charitable and infrastructure works?,"Ahilyabai executed development works in all these group of tirthas. Eight Jyotirlingas have records of the contribution of Ahilyabai. In another four, the contributions of Holkars are recorded but is not clear which ruler made them. She made contributions in all 7 Puris (moksha cities) of Ayodhya, Mathura, Dwarka, Haridwar, Benares, Kanchi and Ujjain. She also made contribution to the Char Dhams of Puri, Dwarka, rameswaram and Badrinath."
771,Ahilyabai arranged to send Ganga Jal to several temples. How many temples receive Ganga Jal sent by Ahilyabai even now?,"Ahilyabai made permanent arrangements to send Ganga Jal from Gangotri to forty temples every year on the day of Shivaratri. These include the Jyotirlingas, Pashupatinath, Gokarna and Pandharpur. This tradition continues and the descendants of Brahmins appointed by Ahilyabai still carryout this activity."
772,Water management was one of the focus of Ahilyabai. Where in Maharashtra will you find Ahilyabai lake spread over 18 acres?,The Ahilyabai lake is in Jejuri. It was built by Ahilyabai in 1770. She dedicated it to her father-in-law and mother-in-law. It is a stone structure with strong technical design to ensure water pressure and flow. It stands as a model for water management and is spread over 18 acres. It draws water from several springs in the mountains.
773,Malhar Rao made a few fatal errors which proved costly for the maratha empire. What was his first error which made him arrive late in Delhi for a campaign against Abdali in 1957?,"Antaji Mankeshwar had been defending Delhi against Abdali. He urgently sought reinforcements. Malhar Rao was despatched to support Delhi but he took a detour through Rajputana to collect taxes. By the time Malhar Rao reached Agra, Abdali had been successful in looting Delhi. The marathas eventually won and captured Najieeb Khan who was supporting Abdali."
774,What is the second mistake of Malhar Rao which would prove costly for Marathas?,Najib Khan had been installed as a de facto controller of Delhi by Abdali. The Maratha laid a siege on Delhi and eventually captured Najib Ali. Through intermediaries Najib convinced Malhar Rao and offered money in exchange of his freedom. Malhar Rao supported this deal even though the maratha army was against it. Najib was freed but would again ally with Abdalai in the Panipat war. Malhar Rao suffered shame because of these errors. AhilyaBai was instrumental in consoling him and helping him in regaining maratha territories in the north.
775,Who eventually succeeded to the throne of Malwa after the death of Ahilyabai?,"Yashwant Holkar was the son of Radhi, the concubine of Tukoji. By the time Ahilyabai died, Tukoji had also become old. Quarrels started among his sons for succession. This was made worse by the palace struggles within the maratha kingdom itself. Eventually, Yashwant rao succeeded."
776,Who carried on the warrior legacy of Malhar Rao after his death?,"After the death of Malhar Rao, Ahilyabai’s son Maley Rao reigned for a short period. Tukoji Rao became Subedar after Maley Rao’s death. While he was the subedar, real power was in the hands of Ahilyabai. Tukoji took on the responsibility of war expeditions for the Peshwa. He would travel north and south. He was engaged in the campaign against Tippu Sultan. His support was instrumental in controlling the revolt of Raghoba."
777,What is the royal palace of Holkars in Indore called?,Rajwada palace is an impressive seven storey structure in Indore. Malhar Rao started the construction of the palace in 1747 and it was completed in 1766. It was renovated between 1811 and 1833. A fire and riots in 1984 damaged the palace. Two floors also caved in recently. The palace was opened for visitors again in 2023 after a six year restoration work.
778,Till when did the Holkar dynasty last?,"The Holkar dynasty continued till the independence of India. Yashwant Rao Holkar II was the last King and he acceded to the Union of India. On 16th June 1948, the princely State of Indore merged into Madhya Bharat."
779,The friendship of Holkar dynasty with another Maratha confederacy was legendary. Which is this dynasty?,"The Scindias ruled from Ujjain and Gwalior. The Scindia - Holkar friendship was legendary and it was instrumental in establishing maratha supremacy in northern India. Both Malhar Rao and Ahilyabai steadfastly tried to maintain the friendship. There were occasional incidents of mistrust and internal fighting, but the friendship endured throughout the reign of Malhar Rao and Ahilyabai."
780,Rao Nandlal had a crucial role to play in the rise of Holkars. What was he?,"Rao Nandlal was the revenue collector for the northern region for Mughals upto the river Narmada. He stayed in Indore. He was dejected by the cruel rule of Daya Bahadur, the subedar of Mughal emperor Muhammad Shah. Therefore, when Peshwa Bajirao was looking to expand the maratha empire, Rao Nandlal invited him to attack Malwa and establish Hindavi self rule. Peshwa Bajirao sensed an opportunity and sent Malhar Rao Holkar with a large army to attach Malwa. With the co-operation of Rao Nandlal, Malwa was won over by the marathas."
781,Who did Ahilyabai appoint as Tukoji's successor shortly before her death?,"The differences between Tukoji and Ahilyabai kept growing. Tukoji had not been contributing to the treasury and was retaining war loot with himself. Due to growing differences with Ahilyabai, Tukoji wished to give up the Subedarship. He requested that his son Malhar Rao be made Subedar. Ahilyabai refused as she considered him lacking in integrity. She appointed his other Son Kashi Rao as Subedar and his nephew Bapu Holkar as the Commander-in-Chief. The formal appointment by Peshwa was not completed due to the sudden demise of Mahadji Shinde in Pune."
413,In which language was the story of Rama first told outside India?,"The early Buddhist Jataka versions of Ramayana are the books ‘Anamakam Jatakam’ and ‘Dashrath Kathanam’. These were translated into Chinese in the 3rd-5th cent CE. As Buddhism expanded to the north of India, these Jataka stories went with it. Kang Seng Hui rendered the Jataka form of the Ramayana into Chinese in AD 251. In AD 472, the Nidana of Dasaratha was translated from a lost Sanskrit text by Kekaya. Source: Lokesh Chandra, Ramayana - The Epic of Asia Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Wikimedia Commons"
414,"The first Ramayana work in Sri Lanka was composed in the 6th Century, but not in Sinhalese. Which language was it in?","Sanskrit. Due to Buddhist influence, Pali, and alongwith it Sanskrit, heavily influenced Sinhalese vocabulary._x000D_ _x000D_ In the sixth century, a Sinhalese poet Kumaradasa composed Janakitharana. This is the earliest Sankrit work of Sri Lanka. Indian and Sinhalese writers note that there was a strong bond friendship between Kumaradasa and the legendary Indian poet Kalidasa. Janakitharana was later translated into Sinhalese in the 12th century._x000D_ _x000D_ Source: Lokesh Chandra, Ramayana - The Epic of Asia_x000D_ _x000D_ Picture Credit: Wikimedia Commons"
415,Ramayana Kakwin’ is the popular Ramayana from which country? Like India it has many versions of the epic and a tradition of Ramlila.,"Ramayana Kakwin is the most ancient version of Indonesian Ramayana dating back to the 10th cent CE. Like India, there are many literary works in Indonesia exploring less well known episodes of Ramayana. Sumansantak Kakwin is the story of Rama’s grandparents Aja & Indumati and the birth of Dashratha. Arjunvijaya is the story of Ravana’s defeat by Arjuna Sahasrabahu. The Ramlila held in Indonesia is based on relatively modern versions that developed later. These are quite different from the original Ramayana Kakwin or Valmiki. Source: Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Ramanujam SR"
416,Which famous 9th cent CE temple in Indonesia has the main events of Ramayana sculpted on its walls?,"Prambanan(Parambrahm in Sanskrit) is a grand temple complex in Yogyakarta in Java, Indonesia. A full scale Ramayana is sculpted on its walls. They are distinctively Indonesia and are from the versions of Kawi Ramayana. The Prambanan temple looks to be dedicated to the Trimurti (Brahma, Vishnu, Mahesh). It was dedicated solely to Shiva originally and the architecture is made to resemble the abode of Shiva. Another 14th cent CE Shiva temple in East Java at Panataran also has similar Ramayana reliefs on its wall. Angkor Vat in Cambodia, now a Buddhist shrine but originally dedicated to Vishnu, also has battle scenes from the epic on its walls which are considered masterpieces. Source: Lokesh Chandra, Ramayana - The Epic of Asia Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Ramanujam SR"
417,Which biblical character does Ravana pray to in the Malayan Ramayana?,"Islam became the main religion of Malaya between 13th -15th cent CE and that left its imprint on the epic. The first manuscript of ‘Hikayat Seri Ram’ dates to 1633 CE. Ravana prays to Prophet Adam who gets him the kingship of the four lokas. Ravana marries a princess in each loka and the respective sons born rule that loka on his behalf – Indrajit rules Devaloka, Mahiravana rules Pataal etc. The stories of the birth of Rama & Sita, their marriage and exile, Sita’s abduction, Lakshmana’s encounter with Shurpanakha and the post war events, are all widely different from Valmiki. After the war, Vibhishana marries Rama’s sister Kikavi, a name not present in Indian versions. After a second exile, Sita reconciles with Rama in the end and their sons Luv & Kusha marry rakshasa princesses. Strangely, only the description of Rama Ravana war follows Valmiki. Source: Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Wikimedia Commons"
418,A Vietnamese inscription (in a 7th cent CE temple) shows an important Ramayana character as a Vishnu avatara. Which character is this?,"Indian traders were visiting Indo China since 1st cent CE. After the Chinse Han empire receded from Champa (present day Vietnam), the traders became a major influence. Ramayana gained popularity and its author Valmiki was considered an incarnation of Vishnu. An image of Valmiki and an inscription have been found in a Champa temple belonging to the period of King Prakashadharma (7th cent CE in). The inscription extols Valmiki as an avatara of Vishnu. Source: Kamala Ratnam, Ramayana in Laos Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Ravana Lifting Kailasa. Danang Museum, Vietnam"
419,‘Rama Kerti’ (Reamker) describes Rama both as an avatara of Vishnu and a Bodhisatva. Which small Buddhist country does it belong to?,"Indian traders and the Khmer people of Cambodia together established many kingdoms from 1st cent CE onwards. Ramakerti is exquisite Khmer literature but the existing manuscripts are incomplete and the earliest dates to 17th cent CE. It follows Valmiki a great deal though the Malayan Seri Ram has also influenced it. One unique aspect of Ramakerti is that the bow that Rama breaks to marry Sita is not Shiva’s. It is made by her father Janaka from ‘Indrajala’. Indra’s net is a concept from Atharva Veda but used by Buddhists to describe the nature of the world – each part is similar to the whole. Source: Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Marcin Konsek, Wikimedia Commons, Paintings of Reamker from Royal Palace, Phnom Penh."
420,"In the Thai Ramayana, Hanuman is shown with an unusual characteristic. What is it?","In the Thai ‘Ramakien’, Hanuman is not the austere bachelor worshipped in India. He is a hero who has numerous women falling in love with him, including Ravana’s wife, Mandodari. Ramakien has many sources – Valmiki, the Malayan Seri Ram and the Khmer Ramakerti. It is set entirely in Shyam (Thailand). Some completely new stories are there. Brahma mediates between Rama & Ravana and orders Sita’s release which is declined by Ravana, leading to him being cursed. Post war, Vibhishana marries Mandodari and rules Lanka but a surviving son of Ravana revolts. Rama despatches Bharata & Shatrughana to quell the revolt and restore Vibhishana to the Lankan throne. Source: Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Jpatokal, Wikimedia Commons, Scene from Ramakien on a mural at Temple of Emerald Buddha, Bangkok."
