snippet_key,category_id,tag_ids,notes
283,CAT_008,TERM_012|TERM_051|TERM_039,"Primary subject is the various names/epithets of the Buddha himself"
284,CAT_010,TERM_012|TERM_056|TERM_078,"Primary subject is Lumbini as the sacred birthplace site of the Buddha"
285,CAT_010,TERM_012|TERM_074|TERM_056,"Primary subject is Sarnath as the pilgrimage site of the first sermon"
286,CAT_007,TERM_004|TERM_012|TERM_071,"Primary subject is the Sanchi stupa as the earliest surviving Buddhist monument"
287,CAT_007,TERM_053|TERM_013|TERM_012,"Primary subject is the Ajanta cave paintings as art and architecture"
288,CAT_010,TERM_019|TERM_012|TERM_033,"Primary subject is Nalanda mahavihara as a Buddhist university and place of learning"
289,CAT_004,TERM_079|TERM_012|TERM_062,"Primary subject is Vipassana meditation practice and well-being"
290,CAT_007,TERM_013|TERM_071|TERM_075,"Primary subject is Buddhist cave temples and their distribution as architecture"
291,CAT_009,TERM_030|TERM_003|TERM_075,"Primary subject is the Ashokan rock edict and ancient port history at Sopara"
292,CAT_002,TERM_011|TERM_012|TERM_042,"Primary subject is the Jataka tales as a body of Buddhist literature"
293,CAT_006,TERM_020|TERM_012|TERM_008,"Primary subject is the Vesak/Buddha Purnima festival"
294,CAT_007,TERM_004|TERM_012|TERM_071,"Primary subject is Buddhist monastic architecture (vihara) and the naming of Bihar"
319,CAT_008,TERM_064|TERM_034|TERM_056,"Primary subject is the guru Dronacharya and the place named for him"
320,CAT_009,TERM_037|TERM_058|TERM_018,"Primary subject is Chandragupta Maurya and the founding of the Maurya empire"
321,CAT_007,TERM_068|TERM_013|TERM_054,"Primary subject is the Lakulisha sculpture at the Elephanta monument"
322,CAT_008,TERM_055|TERM_064|TERM_044,"Primary subject is Adi Shankara winning the debate with Mandana Mishra"
323,CAT_008,TERM_061|TERM_010|TERM_042,"Primary subject is the reformer Basava and the community that reveres him"
324,CAT_008,TERM_010|TERM_065|TERM_050,"Primary subject is Chaitanya Mahaprabhu and his sankirtan tradition"
325,CAT_010,TERM_071|TERM_010|TERM_027,"Primary subject is the Shrinathji temple at Nathdwara established by Vallabhacharya"
326,CAT_008,TERM_064|TERM_018|TERM_030,"Primary subject is the guru Vidyaranya who helped found Vijayanagara"
327,CAT_008,TERM_010|TERM_078|TERM_030,"Primary subject is the saint Ravidas and his disciple Mirabai"
328,CAT_008,TERM_078|TERM_076|TERM_030,"Primary subject is Jijabai as the guru-mother of Shivaji"
329,CAT_008,TERM_064|TERM_061|TERM_033,"Primary subject is Ramakrishna Paramahansa as guru of Vivekananda"
330,CAT_008,TERM_061|TERM_055|TERM_056,"Primary subject is the reformer Narayana Guru of Kerala"
425,CAT_012,TERM_069|TERM_056|TERM_030,"Primary subject is Guru Nanak and his birthplace/death sites in Pakistan"
426,CAT_002,TERM_069|TERM_011|TERM_050,"Primary subject is the compilation of the Adi Granth scripture"
427,CAT_012,TERM_069|TERM_030|TERM_037,"Primary subject is the martyrdom of Guru Arjan Dev under Jahangir"
428,CAT_010,TERM_069|TERM_071|TERM_058,"Primary subject is the Akal Takht seat of Sikh authority at Amritsar"
429,CAT_012,TERM_069|TERM_062|TERM_039,"Primary subject is Guru Angad establishing the sangat and langar tradition"
430,CAT_010,TERM_069|TERM_071|TERM_074,"Primary subject is the building of the Amrit Sarovar that names Amritsar"
431,CAT_010,TERM_069|TERM_071|TERM_056,"Primary subject is Guru Harkrishan and the Bangla Sahib Gurudwara in Delhi"
432,CAT_012,TERM_069|TERM_030|TERM_037,"Primary subject is Guru Har Rai excommunicating his son over Mughal relations"
433,CAT_012,TERM_069|TERM_071|TERM_030,"Primary subject is the martyrdom of Guru Tegh Bahadur and the two Gurudwaras"
434,CAT_002,TERM_069|TERM_011|TERM_055,"Primary subject is the Dasam Granth, compositions of Guru Gobind Singh"
249,CAT_012,TERM_035|TERM_014|TERM_055,"Primary subject is the Jain concept of Jina conquering inner enemies"
250,CAT_012,TERM_035|TERM_051|TERM_064,"Primary subject is the Tirthankaras and their count in Jain tradition"
251,CAT_012,TERM_035|TERM_014|TERM_074,"Primary subject is the meaning of the term Tirthankara"
252,CAT_012,TERM_035|TERM_068|TERM_071,"Primary subject is Chandragupta's Jain renunciation at Sravanabelagola and the Bahubali monolith"
253,CAT_009,TERM_037|TERM_035|TERM_003,"Primary subject is King Kharavela and the Hathigumpha inscription with first Bharatvarsha reference"
254,CAT_012,TERM_035|TERM_055|TERM_014,"Primary subject is the Jain doctrine of Anekantavada"
255,CAT_007,TERM_068|TERM_035|TERM_003,"Primary subject is the earliest Jain sculptures at Kankali Tila, Mathura"
256,CAT_010,TERM_035|TERM_071|TERM_074,"Primary subject is the Shatrunjaya Jain temple pilgrimage hill at Palitana"
257,CAT_007,TERM_004|TERM_035|TERM_071,"Primary subject is the Dilwara Jain temples and their architecture"
258,CAT_007,TERM_068|TERM_035|TERM_030,"Primary subject is the colossal rock-cut Tirthankara sculptures at Gwalior"
259,CAT_007,TERM_004|TERM_035|TERM_071,"Primary subject is the Parsvanath Jain temple at Khajuraho"
260,CAT_010,TERM_071|TERM_035|TERM_004,"Primary subject is Deogarh as a site of Jain and early Hindu temples"
295,CAT_011,TERM_025|TERM_003|TERM_067,"Primary subject is the antiquity of mango with fossil evidence in India"
296,CAT_007,TERM_068|TERM_025|TERM_012,"Primary subject is the earliest sculptural depiction of mango at Sanchi"
297,CAT_011,TERM_025|TERM_034|TERM_042,"Primary subject is the earliest literary references to mango in the Ramayana"
298,CAT_011,TERM_025|TERM_039|TERM_075,"Primary subject is the linguistic origin of the word mango and its global spread"
299,CAT_011,TERM_025|TERM_026|TERM_002,"Primary subject is the mango as national fruit across countries and its species range"
300,CAT_011,TERM_025|TERM_075|TERM_030,"Primary subject is the Alphonso mango variety and its Portuguese colonial origin"
301,CAT_009,TERM_009|TERM_025|TERM_037,"Primary subject is Sher Shah's victory over Humayun marked by the Chausa mango"
302,CAT_009,TERM_037|TERM_025|TERM_075,"Primary subject is Akbar's mango plantation at Darbhanga"
303,CAT_011,TERM_025|TERM_051|TERM_034,"Primary subject is the folk story linking Hanuman to the mango's arrival in India"
304,CAT_010,TERM_038|TERM_071|TERM_027,"Primary subject is Ekamra-kshetra (Bhubaneswar) as the sacred temple-city of Lingaraj"
305,CAT_009,TERM_030|TERM_025|TERM_058,"Primary subject is the assassination of Zia-ul-Haq, linked to a box of mangoes"
306,CAT_011,TERM_025|TERM_026|TERM_075,"Primary subject is the distribution of GI-tagged mango varieties across Indian states"
261,CAT_006,TERM_020|TERM_056|TERM_026,"Primary subject is Assam's new year sweet Ghila Pitha and the Magh Bihu festival"
262,CAT_006,TERM_020|TERM_056|TERM_025,"Primary subject is the Odisha new year Pana Sankranti and its drink"
263,CAT_006,TERM_020|TERM_056|TERM_008,"Primary subject is the Bengali new year Poila Baisakh and its calendar"
264,CAT_006,TERM_020|TERM_056|TERM_008,"Primary subject is Kerala's astronomical new year Vishu and its Sadhya"
265,CAT_006,TERM_020|TERM_056|TERM_025,"Primary subject is the Maharashtrian new year Gudi Padwa and Puran Poli"
266,CAT_006,TERM_020|TERM_062|TERM_056,"Primary subject is the Ugadi Pachidi new year dish and its symbolic ingredients"
267,CAT_006,TERM_020|TERM_062|TERM_056,"Primary subject is the Kashmiri Pandit new year Navreh and Tehar dish"
268,CAT_006,TERM_020|TERM_027|TERM_056,"Primary subject is the Sindhi new year Cheti Chand and offering to Jhulelal"
368,CAT_001,TERM_027|TERM_031|TERM_039,"Primary subject is the name and iconography of Ganesha as Pillaiyar"
369,CAT_001,TERM_027|TERM_002|TERM_003,"Primary subject is the earliest evidence of elephant/Ganesha worship at Kapisa"
370,CAT_001,TERM_027|TERM_051|TERM_034,"Primary subject is the theological meaning of 'gana' in Ganesha's names"
371,CAT_001,TERM_027|TERM_031|TERM_002,"Primary subject is the iconography of Ganesha's elephant features"
372,CAT_010,TERM_027|TERM_050|TERM_009,"Primary subject is the Vatapi Ganapati deity taken as war booty to Pallava country"
373,CAT_008,TERM_073|TERM_027|TERM_010,"Primary subject is the poet Tulsidas and his Ganesh Vandana"
374,CAT_001,TERM_027|TERM_034|TERM_051,"Primary subject is the oldest Vedic name Ganapati and its theology"
375,CAT_010,TERM_071|TERM_027|TERM_074,"Primary subject is the Ashtavinayak pilgrimage circuit of eight Ganesha temples"
376,CAT_010,TERM_071|TERM_027|TERM_034,"Primary subject is the 56 Vinayaka deities of the pilgrimage city Kashi"
377,CAT_001,TERM_027|TERM_012|TERM_031,"Primary subject is the worship of the embracing-couple form of Ganesha in Japan"
181,CAT_006,TERM_020|TERM_017|TERM_073,"Primary subject is the earliest full description of Holi in Harsha's play Ratnavali"
182,CAT_006,TERM_020|TERM_011|TERM_068,"Primary subject is the Holi reference Srngakrida in the Kamasutra"
183,CAT_006,TERM_020|TERM_072|TERM_050,"Primary subject is the first film featuring a Holi celebration"
184,CAT_006,TERM_020|TERM_069|TERM_071,"Primary subject is the Hola Mohallah festival at Anandpur Sahib Gurudwara"
185,CAT_006,TERM_020|TERM_027|TERM_056,"Primary subject is Bengal's Dol Yatra form of Holi worshipping Krishna"
186,CAT_006,TERM_020|TERM_024|TERM_022,"Primary subject is the musical Baithki and Khadi Holi of Kumaon"
187,CAT_006,TERM_020|TERM_062|TERM_056,"Primary subject is the Lathmaar Holi of the Braj region"
188,CAT_006,TERM_020|TERM_071|TERM_062,"Primary subject is the turmeric Bhandara festival at the Khandoba temple, Jejuri"
189,CAT_006,TERM_020|TERM_027|TERM_062,"Primary subject is the Dol Jatra swing celebration of Holi for Krishna"
190,CAT_006,TERM_020|TERM_073|TERM_071,"Primary subject is the Vasantotsava Holi festival at Hampi's Virupaksha temple"
191,CAT_006,TERM_020|TERM_012|TERM_062,"Primary subject is the Buddhist Balanakkhatta festival similar to Holi"
358,CAT_001,TERM_027|TERM_034|TERM_073,"Primary subject is the earliest textual reference to Krishna in the Chandogya Upanishad"
359,CAT_001,TERM_027|TERM_051|TERM_068,"Primary subject is Balarama, Krishna's brother, and early Krishna-related deities"
360,CAT_001,TERM_027|TERM_056|TERM_030,"Primary subject is Megasthenes identifying Mathura as a Krishna-worship stronghold"
361,CAT_009,TERM_037|TERM_009|TERM_027,"Primary subject is Porus's army carrying a Krishna image into battle"
362,CAT_009,TERM_018|TERM_027|TERM_030,"Primary subject is the Satavahana Naneghat inscription referencing Krishna"
363,CAT_007,TERM_027|TERM_004|TERM_030,"Primary subject is the Heliodorus pillar as an early Krishna religious structure"
364,CAT_007,TERM_068|TERM_027|TERM_030,"Primary subject is the Chilas rock carvings showing early Krishna and Balarama worship"
365,CAT_010,TERM_003|TERM_034|TERM_056,"Primary subject is the underwater discovery of the Mahabharata city of Dwarka"
366,CAT_008,TERM_010|TERM_078|TERM_050,"Primary subject is the female Alvar saint Andal and her Krishna devotion"
367,CAT_010,TERM_071|TERM_027|TERM_065,"Primary subject is the under-construction ISKCON temple at Mayapur"
192,CAT_006,TERM_020|TERM_027|TERM_062,"Primary subject is the meaning of 'Gudi' in the Gudi Padwa new year festival"
193,CAT_006,TERM_020|TERM_008|TERM_056,"Primary subject is the meaning of 'Ugadi' new year for Kannada/Telugu people"
194,CAT_006,TERM_020|TERM_062|TERM_027,"Primary subject is the Vishu Kani ritual of the Kerala new year"
