snippet_key,category_id,tag_ids,notes
568,CAT_008,TERM_034|TERM_064|TERM_019|TERM_076,"Primary subject is Drona as guru and his demand of guru dakshina from Arjuna"
569,CAT_009,TERM_034|TERM_077|TERM_019|TERM_076,"Primary subject is Arjuna developing the shabda-bedhi archery skill through practice"
570,CAT_009,TERM_034|TERM_077|TERM_076|TERM_019,"Primary subject is Arjuna's focus as an archer compared to other Kuru princes"
571,CAT_005,TERM_034|TERM_067|TERM_077|TERM_076,"Primary subject is the refraction physics behind Arjuna's underwater shot"
572,CAT_008,TERM_034|TERM_064|TERM_019,"Primary subject is Drona's partiality to his son Ashwathama as a guru"
573,CAT_008,TERM_034|TERM_064|TERM_060|TERM_076,"Primary subject is Drona refusing to teach Eklavya, a Nishaada prince"
574,CAT_009,TERM_034|TERM_037|TERM_060|TERM_076,"Primary subject is Eklavya's lineage as son of the Nishaada leader and general of Jarasandha"
575,CAT_009,TERM_034|TERM_077|TERM_076|TERM_002,"Primary subject is Eklavya's archery feat silencing the dog"
576,CAT_008,TERM_034|TERM_064|TERM_060|TERM_076,"Primary subject is Drona demanding Eklavya's thumb as guru dakshina"
577,CAT_009,TERM_034|TERM_076|TERM_009|TERM_037,"Primary subject is the talent show and Karna gatecrashing to challenge Arjuna"
578,CAT_009,TERM_034|TERM_037|TERM_056|TERM_076,"Primary subject is Duryodhana making Karna king of Anga"
504,CAT_008,TERM_034|TERM_064|TERM_011|TERM_073,"Primary subject is Vyasa as the rishi who reorganized the Vedas"
505,CAT_002,TERM_034|TERM_011|TERM_073|TERM_064,"Primary subject is the corpus of works composed by Vyasa"
506,CAT_002,TERM_034|TERM_042|TERM_011,"Primary subject is the scale of the Mahabharata epic in verses"
507,CAT_002,TERM_034|TERM_042|TERM_026,"Primary subject is the meaning of Maha and the epic's vast coverage"
508,CAT_002,TERM_034|TERM_042|TERM_011,"Primary subject is Mahabharata being called Panchama Veda"
509,CAT_002,TERM_034|TERM_011|TERM_073,"Primary subject is the mnemonic verse listing the 18 Mahapuranas"
510,CAT_002,TERM_034|TERM_011|TERM_042,"Primary subject is the number of Mahapuranas and Upapuranas"
511,CAT_002,TERM_034|TERM_042|TERM_011,"Primary subject is Jaya as an older name for the Mahabharata"
